YEAR,MONTH,CUT-OFF,SKU,Description,Tran Date,Post Date,Sell UOM,QTY,PACK,KG,PC,Concession Rate (%),Gross Sales Amt  (Incl of VAT),Concession Amt  (Excl of VAT),Input VAT,Concession Amt (Incl of VAT),AREA,CHAIN,BANNER,STORE CODE,BRANCH,SKU CATEGORY,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JUN,JUN 1 TO 30,21871,TGM - BEEF CUBES - KILO,5/10/2024,6/4/2024,KG,0.52000,0.00000,0.52000,0.00000,88,269.88000,237.49000,0.00000,237.49000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF CUBES,BEEF CUBES,BEEF CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21901,TGM - OX TRIPE - KILO,5/10/2024,6/4/2024,KG,1.04000,0.00000,1.04000,0.00000,88,350.87000,308.77000,0.00000,308.77000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF TRIPE,BEEF TRIPE,BEEF TRIPE,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21825,TGM - GROUND BEEF - KILO,6/1/2024,6/1/2024,KG,0.42000,0.00000,0.42000,0.00000,88,147.20000,129.54000,0.00000,129.54000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21826,TGM - PORKCHOP SOBI - KILO,6/1/2024,6/1/2024,KG,5.71000,0.00000,5.71000,0.00000,88,2160.31000,1901.07000,0.00000,1901.07000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21832,TGM - PORK BELLY SOBI - KILO,6/1/2024,6/1/2024,KG,5.34000,0.00000,5.34000,0.00000,88,2437.32000,2144.84000,0.00000,2144.84000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21837,TGM - PORK SINIGANG CUT - KILO,6/1/2024,6/1/2024,KG,4.65000,0.00000,4.65000,0.00000,88,1324.50000,1165.56000,0.00000,1165.56000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21838,TGM - PORK MENUDO CUT - KILO,6/1/2024,6/1/2024,KG,8.06000,0.00000,8.06000,0.00000,88,2961.15000,2605.81000,0.00000,2605.81000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21839,TGM - PATA SLICED - KILO,6/1/2024,6/1/2024,KG,3.26000,0.00000,3.26000,0.00000,88,1023.37000,900.57000,0.00000,900.57000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21841,TGM - LEAN GROUND PORK - KILO,6/1/2024,6/1/2024,KG,14.73000,0.00000,14.73000,0.00000,88,4931.83000,4340.01000,0.00000,4340.01000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21842,TGM - PATA FRONT - KILO,6/1/2024,6/1/2024,KG,1.31000,0.00000,1.31000,0.00000,88,445.07000,391.66000,0.00000,391.66000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PATA FRONT,PATA FRONT,PATA FRONT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
