YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,19862,TGM PORK CALDERETA,8.41000,KG     ,0.00000,8.41000,0.00000,2471.16000,296.53700,2174.62300,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK KALDERETA CUT,PORK KALDERETA CUT,PORK KALDERETA CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61719,TGM ADOBO CUT,12.22000,KG,0.00000,12.22000,0.00000,4526.05000,543.11600,3982.93400,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61721,TGM BACON SLICE,2.76000,KG,0.00000,2.76000,0.00000,1376.82000,165.21700,1211.60300,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61722,TGM BELLY SOBI/BELLY SLICED,8.80000,KG,0.00000,8.80000,0.00000,4211.87000,505.41900,3706.45100,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61724,TGMT CUTLETS,2.09000,KG,0.00000,2.09000,0.00000,835.91000,100.30600,735.60400,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK CUTLETS,PORK CUTLETS,LAMAN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61732,TGM KASIM SOBL,5.26000,KG,0.00000,5.26000,0.00000,1874.42000,224.92800,1649.49200,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK KASIM SOBL,PORK KASIM SOBL,KASIM,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61733,TGM LEAN GROUND PORK,7.39000,KG,0.00000,7.39000,0.00000,2697.12000,323.64500,2373.47500,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61734,TGM LECHON KAWALI CUT,3.05000,KG,0.00000,3.05000,0.00000,1314.90000,157.78600,1157.11400,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM LECHON KAWALI CUT,LECHON KAWALI CUT,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61735,TGM MENUDO CUT,6.06000,KG,0.00000,6.06000,0.00000,2320.86000,278.50000,2042.36000,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61737,TGM PATA SLICED,5.54000,KG,0.00000,5.54000,0.00000,1970.24000,236.42400,1733.81600,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61740,TGM PIGUE SOBL,6.32000,KG,0.00000,6.32000,0.00000,2222.50000,266.69500,1955.80500,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PIGUE SOBL,PIGUE SOBL,PIGUE,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61742,TGM PORK CUBES,3.05000,KG,0.00000,3.05000,0.00000,1182.35000,141.88000,1040.47000,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK CUBES,PORK CUBES,PORK CUBES,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61744,TGM PORK LIVER,2.86000,KG,0.00000,2.86000,0.00000,633.60000,76.02800,557.57200,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK LIVER,PORK LIVER,PORK LIVER,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61755,TGM PORK STEAK,7.06000,KG,0.00000,7.06000,0.00000,2724.58000,326.94400,2397.63600,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61758,TGM PORKCHOP SOBI,7.54000,KG,0.00000,7.54000,0.00000,2865.26000,343.82500,2521.43500,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61759,TGM REGULAR GROUND PORK,13.74000,KG,0.00000,13.74000,0.00000,4525.87000,543.09500,3982.77500,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61760,TGM RIB SHOULDER,2.43000,KG,0.00000,2.43000,0.00000,903.54000,108.42300,795.11700,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM RIB SHOULDER,RIB SHOULDER,RIB SHOULDER,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61781,TGM SINIGANG CUT,0.36000,KG,0.00000,0.36000,0.00000,96.75000,11.61000,85.14000,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61786,TGM TENDERLOIN,2.22000,KG,0.00000,2.22000,0.00000,990.74000,118.88700,871.85300,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM PORK TENDERLOIN,PORK TENDERLOIN,PORK TENDERLOIN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61787,TGM TONKATSU SLICE,10.87000,KG,0.00000,10.87000,0.00000,4208.06000,504.96100,3703.09900,PORK,SOUTH GMA,ARGIE,PORK,317510_240701,PUREGOLD,TGM TONKATSU SLICE,TONKATSU SLICE,TONKATSU SLICE,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61820,TGM BEEF BRISKET,2.18000,KG,0.00000,2.18000,0.00000,1183.12000,141.97300,1041.14700,BEEF,SOUTH GMA,ARGIE,BEEF,317510_240701,PUREGOLD,TGM BEEF BRISKET,BEEF BRISKET,BEEF BRISKET,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61833,TGM BEEF CUBES,2.44000,KG,0.00000,2.44000,0.00000,1311.12000,157.33200,1153.78800,BEEF,SOUTH GMA,ARGIE,BEEF,317510_240701,PUREGOLD,TGM BEEF CUBES,BEEF CUBES,BEEF CUBES,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61835,TGM BEEF KALITIRAN,0.36000,KG,0.00000,0.36000,0.00000,207.00000,24.84000,182.16000,BEEF,SOUTH GMA,ARGIE,BEEF,317510_240701,PUREGOLD,TGM BEEF KALITIRAN,BEEF KALITIRAN,BEEF KALITIRAN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,JUN,JUN 23 TO 30,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61842,TGM BEEF SIRLOIN,1.83000,KG,0.00000,1.83000,0.00000,1125.45000,135.05400,990.39600,BEEF,SOUTH GMA,ARGIE,BEEF,317510_240701,PUREGOLD,TGM BEEF SIRLOIN,BEEF SIRLOIN,BEEF SIRLOIN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
