YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61719,TGM ADOBO CUT,11.11000,KG,0.00000,11.11000,0.00000,4106.29000,492.74800,3613.54200,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61721,TGM BACON SLICE,2.60000,KG,0.00000,2.60000,0.00000,1270.85000,152.49900,1118.35100,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61722,TGM BELLY SOBI/BELLY SLICED,4.03000,KG,0.00000,4.03000,0.00000,1931.35000,231.75900,1699.59100,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61724,TGMT CUTLETS,0.51000,KG,0.00000,0.51000,0.00000,195.96000,23.51500,172.44500,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORK CUTLETS,PORK CUTLETS,LAMAN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61725,TGM KASIM SLBL,1.05000,KG,0.00000,1.05000,0.00000,369.55000,44.34500,325.20500,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORK KASIM SLBL,PORK KASIM SLBL,KASIM,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61733,TGM LEAN GROUND PORK,7.07000,KG,0.00000,7.07000,0.00000,2580.26000,309.62500,2270.63500,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61734,TGM LECHON KAWALI CUT,0.41000,KG,0.00000,0.41000,0.00000,175.89000,21.10600,154.78400,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM LECHON KAWALI CUT,LECHON KAWALI CUT,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61735,TGM MENUDO CUT,1.78000,KG,0.00000,1.78000,0.00000,698.10000,83.77100,614.32900,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61737,TGM PATA SLICED,4.36000,KG,0.00000,4.36000,0.00000,1506.20000,180.74100,1325.45900,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61739,TGM PIGUE SLBL,1.06000,KG,0.00000,1.06000,0.00000,412.34000,49.48000,362.86000,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PIGUE SLBL,PIGUE SLBL,PIGUE,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
