YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,655315,THE GOOD MEAT LEAN GROUND PORK,151.83000,KLS,0.00000,151.83000,0.00000,48156.63000,6741.92820,41414.70180,PORK,RIZAL,DENNIS,PORK,6240,SHOPWISE,PILMICO LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,48156.63000,0.00000,Antipolo,Rizal,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,655281,THE GOOD MEAT KASIM SOBL,124.79500,KLS,0.00000,124.79500,0.00000,43399.06000,6075.86840,37323.19160,PORK,RIZAL,DENNIS,PORK,6216,SHOPWISE,PILMICO PORK KASIM SOBL,PORK KASIM SOBL,KASIM,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,43399.06000,0.00000,Antipolo,Rizal,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,210,RS RP TARLAC,655306,THE GOOD MEAT SINIGANG CUT,148.28000,KLS,0.00000,148.28000,0.00000,41196.26000,5767.47640,35428.78360,PORK,NORTH,EMMAN,PORK,6233,ROBINSONS SUPERMARKET,PILMICO PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,41196.26000,0.00000,Tarlac City,Tarlac,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,248,RS SAN CARLOS TC PANGASINAN,655514,THE GOOD MEAT GROUND ROUND,69.05400,KLS,0.00000,69.05400,0.00000,31662.38000,4432.73320,27229.64680,BEEF,NORTH,MARTIN,BEEF,6337,ROBINSONS SUPERMARKET,PILMICO GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,31662.38000,0.00000,San Carlos City,Pangasinan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,722,TMP ALPHALAND MAKATI,655315,THE GOOD MEAT LEAN GROUND PORK,81.78000,KLS,0.00000,81.78000,0.00000,30175.26000,3621.03120,26554.22880,PORK,SOUTH GMA,JOMAR,PORK,6240,THE MARKET PLACE,PILMICO LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,30175.26000,0.00000,Makati,4th District Metro Manila,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,745,TMP 8 BANAWA CENTRAL,692420,FM PILMICO BELLY SOBI,70.48400,KLS,0.00000,70.48400,0.00000,28822.58000,4035.16120,24787.41880,PORK,VISAYAS,ALI,PORK,17624,THE MARKET PLACE,FM PILMICO PORK BELLY SOBI,PORK BELLY SOBI,BELLY,RETAIL,MEAT,HB SHOWCASE,OK,28822.58000,0.00000,Cebu,Cebu,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,207,RS SUMMIT RIDGE TAGAYTAY,655710,ROB PILMICO PORK BELLY SOBI,64.26000,KLS,0.00000,64.26000,0.00000,28037.60000,3084.13600,24953.46400,PORK,SOUTH,ALBERT,PORK,6438,ROBINSONS SUPERMARKET,ROB PILMICO PORK BELLY SOBI,PORK BELLY SOBI,BELLY,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,28037.60000,0.00000,Tagaytay,Cavite,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,655301,THE GOOD MEAT ADOBO CUT,81.28500,KLS,0.00000,81.28500,0.00000,27442.82000,3841.99480,23600.82520,PORK,RIZAL,DENNIS,PORK,6228,SHOPWISE,PILMICO ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,27442.82000,0.00000,Antipolo,Rizal,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,745,TMP 8 BANAWA CENTRAL,692421,FM PILMICO ADOBO CUT,75.82400,KLS,0.00000,75.82400,0.00000,26431.39000,3700.39460,22730.99540,PORK,VISAYAS,ALI,PORK,17625,THE MARKET PLACE,FM PILMICO ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,HB SHOWCASE,OK,26431.39000,0.00000,Cebu,Cebu,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,221,RS RP PANGASINAN,655512,THE GOOD MEAT GROUND BEEF,66.20000,KLS,0.00000,66.20000,0.00000,24375.57000,3412.57980,20962.99020,BEEF,NORTH,MARTIN,BEEF,6334,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,24375.57000,0.00000,Calasiao,Pangasinan,BEEF,SHOWCASE,TGM
