YEAR,MONTH,CUT-OFF,CHAIN,BANNER,Vendor Code,Store Code,Store Name,SKU#,Barcode,Description,Selling UOM,ORIG QTY,PACK,KILOS,PCS,Sales Amount,Commission,Payable Amount,Note,SKU CATEGORY,AREA,KAM,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380149,380149,TGM PORK MENUDO CUT/KG        ,KGS,6.31000,0.00000,6.31000,0.00000,2116.48000,275.14000,1841.34000,-,PORK,NORTH,BERT,TGM PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380150,380150,TGM BELLY SOBI SLICED/KG      ,KGS,41.17600,0.00000,41.17600,0.00000,18068.88000,2348.95000,15719.93000,-,PORK,NORTH,BERT,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380151,380151,TGM PORK ADOBO CUT/KG         ,KGS,20.63000,0.00000,20.63000,0.00000,6930.50000,900.97000,6029.53000,-,PORK,NORTH,BERT,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380152,380152,TGM PORK PCHOP SOBI/KG        ,KGS,23.17800,0.00000,23.17800,0.00000,7850.74000,1020.60000,6830.14000,-,PORK,NORTH,BERT,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380153,380153,TGM PORK SINIGANG CUT/KG      ,KGS,17.54000,0.00000,17.54000,0.00000,4521.96000,587.85000,3934.11000,-,PORK,NORTH,BERT,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380154,380154,TGM PORK PATA FRONT/KG        ,KGS,6.39000,0.00000,6.39000,0.00000,1782.81000,231.77000,1551.04000,-,PORK,NORTH,BERT,TGM PATA FRONT,PATA FRONT,PATA FRONT,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380155,380155,TGM PORK PATA SLICED/KG       ,KGS,5.17000,0.00000,5.17000,0.00000,1565.35000,203.50000,1361.85000,-,PORK,NORTH,BERT,TGM PATA SLICED,PATA SLICED,PATA SLICED,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380157,380157,TGM PORK BABY BACK RIBS/KG    ,KGS,6.42600,0.00000,6.42600,0.00000,2563.97000,333.32000,2230.65000,-,PORK,NORTH,BERT,TGM BABY BACK RIBS,BABY BACK RIBS,BABY BACK RIBS,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380158,380158,TGM PORK STEAK/KG             ,KGS,6.13600,0.00000,6.13600,0.00000,2202.83000,286.37000,1916.46000,-,PORK,NORTH,BERT,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380159,380159,TGM PORK REG GROUND PORK/KG   ,KGS,25.46400,0.00000,25.46400,0.00000,7343.95000,954.71000,6389.24000,-,PORK,NORTH,BERT,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
