YEAR,MONTH,DATE,POS NO.,ITEM NO.,PRODUCT DESCRIPTION,SRP,UOM,CONVERTER,DISC,ORIG QTY,QTY UOM,PACK,KG,PCS,CURRENCY,AMOUNT,COMM RATE,NET SALES,SKU CATEGORY,AREA,KAM,CHAIN,BANNER,SKU number,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,APRIL,04/01/2024,POS24040100808,12,THE GOOD MEAT ADOBO CUT,379.00,KGs,"x 1,000", ,350.00000,Gs,0.00000,0.35000,0.00000,PHP,132.65000,15%,112.75000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100810,2,THE GOOD MEAT BELLY SOBI/BELLY SLICED,479.00,KGs,"x 1,000", ,235.00000,Gs,0.00000,0.23500,0.00000,PHP,112.57000,15%,95.68000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100839,7,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100909,1,THE GOOD MEAT BEEF SHORT RIBS,539.00,KGs,"x 1,000", ,505.00000,Gs,0.00000,0.50500,0.00000,PHP,272.20000,15%,231.37000,BEEF,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BEEF SHORT RIBS,BEEF SHORT RIBS,BEEF SHORT RIBS,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,BEEF,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100779,1,THE GOOD MEAT CHICKEN BREAST,249.00,KGs,"x 1,000", ,540.00000,Gs,0.00000,0.54000,0.00000,PHP,134.46000,15%,114.29000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN BREAST,CHICKEN BREAST,CHICKEN BREAST,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100779,2,THE GOOD MEAT CHICKEN WINGS,239.00,KGs,"x 1,000", ,275.00000,Gs,0.00000,0.27500,0.00000,PHP,65.73000,15%,55.87000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN WINGS,CHICKEN WINGS,CHICKEN WINGS,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100803,1,THE GOOD MEAT BEEF STROGANOFF,649.00,KGs,"x 1,000", ,180.00000,Gs,0.00000,0.18000,0.00000,PHP,116.82000,15%,99.30000,BEEF,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BEEF STROGANOFF,BEEF STROGANOFF,BEEF STROGANOFF,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,BEEF,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100847,1,THE GOOD MEAT CHICKEN LEG QUARTER,249.00,KGs,"x 1,000", ,250.00000,Gs,0.00000,0.25000,0.00000,PHP,62.25000,15%,52.91000,CHICKEN,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM CHICKEN LEG QUARTER,CHICKEN LEG QUARTER,CHICKEN LEG,RETAIL,POULTRY - CHICKEN,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,CHICKEN,CHICKEN,TGM
2024,APRIL,04/01/2024,POS24040100854,1,THE GOOD MEAT PORKCHOP SOBI,379.00,KGs,"x 1,000", ,295.00000,Gs,0.00000,0.29500,0.00000,PHP,111.81000,15%,95.03000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100868,1,THE GOOD MEAT ADOBO CUT,379.00,KGs,"x 1,000", ,1.00000,Gs,0.00000,0.00100,0.00000,PHP,424.48000,15%,360.81000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
