"MERRYMART GROCERY CENTERS, INC",,,,,,,,,,,,,,,
"9F Double Dragon Plaza, DD Meridian Park cor Macapagal Avenue &",,,,,,,,,,,,,,,
"EDSA Extension, Bay Area, Pasay City, Metro Manila, Philippines",,,,,,,,,,,,,,,
Telephone No:  (02) 743-1111,,,,,,,,,,,,,,,
Fax No:  (02) 743-1111,,,,,,,,,,,,,,,
VAT Reg. TIN 010-148-200-00000,,,,,,,,,,,,,,,
Vendor Name,,,,,,,,,,,,,,,
PILMICO ANIMAL NUTRITION CORPORATIO   1000901,APV/DM,2000038039,,,,,,,,,,,,,
Covering Period,,,,,,,,,,,,,,,
"December 1-15, 2022",UMBRIA,Terms,7-15 Days,(ASAP),,,,,,,,,,,
ARTICLE,,,,,,,,,,,,,,,
ARTICLE DESCRIPTION, QTY  SALES UNIT,NET SALES,COMM RATE     NET PAYABLE     TAX CLASS,,,,,,,,,,,,
20024093,,,,,,,,,,,,,,,
TGM Pork Menudo Cut 500g,2,PC,324.50,                                ,10%,292.05,                           ,Vat-Exempt,,,,,,,
20024091,,,,,,,,,,,,,,,
TGM PORK ADOBO CUT 500G,3,PC,478.50,                                ,10%,430.65,                           ,Vat-Exempt,,,,,,,
20024090,,,,,,,,,,,,,,,
TGM Pork Sinigang Cut 500g,1,PC,115.50,                                ,10%,103.95,                           ,Vat-Exempt,,,,,,,
20024089,,,,,,,,,,,,,,,
TGM Porkchop Sobi 500g,3,PC,478.50,                                ,10%,430.65,                           ,Vat-Exempt,,,,,,,
20024088,,,,,,,,,,,,,,,
TGM Ground Pork 500g,4,PC,577.00,                                ,10%,519.30,                           ,Vat-Exempt,,,,,,,
20024092,,,,,,,,,,,,,,,
TGM Samgyupsal Slice(Belly Slbl)500g   3,PC,720.00,                                ,10%,648.00,                           ,Vat-Exempt,,,,,,,,
20024094,,,,,,,,,,,,,,,
TGM Ground Beef 500g,6,PC,"1,182.50",                              ,10%,"1,064.25",                        ,Vat-Exempt,,,,,,,
20024096,,,,,,,,,,,,,,,
TGM Beef Cubes (From Brisket) 500g   1,PC,250.00,                                ,10%,225.00,                           ,Vat-Exempt,,,,,,,,
TOTAL,23,"4,126.50",              , ,"3,713.85",           , ,EWT,37.14,                , ,NET AMOUNT,"3,676.71",           , 
Prepared By/Date,Approved By/Date,CONCESSIONAIRE SALES REPORT,,,,,,,,,,,,,
FRANCES ELIZ T. DE OCAMPO,ELAINE MAE J. ARMADA,,,,,,,,,,,,,,
"MERRYMART GROCERY CENTERS, INC , 9F Double Dragon Plaza, DD Meridian Park cor Macapagal Avenue EDSA Extension, Bay Area, Pasay City,",,,,,,,,,,,,,,,
" Metro Manila, Philippines Telephone No: (02) 743-1111, Fax No: (02) 743-1111",,,,,,,,,,,,,,,
