"MERRYMART GROCERY CENTERS, INC",,,,,,,,,,,,,,,
"9F Double Dragon Plaza, DD Meridian Park cor Macapagal Avenue &",,,,,,,,,,,,,,,
"EDSA Extension, Bay Area, Pasay City, Metro Manila, Philippines",,,,,,,,,,,,,,,
Telephone No:  (02) 743-1111,,,,,,,,,,,,,,,
Fax No:  (02) 743-1111,,,,,,,,,,,,,,,
VAT Reg. TIN 010-148-200-00000,,,,,,,,,,,,,,,
Vendor Name,,,,,,,,,,,,,,,
PILMICO ANIMAL NUTRITION CORPORATIO   1000901,APV/DM,2000066148   1900033554,,,,,,,,,,,,,
Covering Period,,,,,,,,,,,,,,,
"February 16-29, 2024",UMBRIA,Terms,7-15 Days,(ASAP),,,,,,,,,,,
ARTICLE,,,,,,,,,,,,,,,
ARTICLE DESCRIPTION, QTY  SALES UNIT,NET SALES,COMM RATE     NET PAYABLE     TAX CLASS,,,,,,,,,,,,
20024092,,,,,,,,,,,,,,,
TGM Samgyupsal Slice(Belly Slbl)500g   1,PC,250.00,                                ,10%,225.00,                           ,Vat-Exempt,,,,,,,,
20024090,,,,,,,,,,,,,,,
TGM Pork Sinigang Cut 500g,1,PC,160.00,                                ,10%,144.00,                           ,Vat-Exempt,,,,,,,
20024088,,,,,,,,,,,,,,,
TGM Ground Pork 500g,1,PC,200.00,                                ,10%,180.00,                           ,Vat-Exempt,,,,,,,
20024095,,,,,,,,,,,,,,,
TGM Beef Samgyupsal (Short Plate) 500g,2,PC,750.00,                                ,10%,675.00,                           ,Vat-Exempt,,,,,,,
TOTAL,5,"1,360.00",              , ,"1,224.00",           , ,EWT,12.24,                , ,NET AMOUNT,"1,211.76",           , 
Prepared By/Date,Approved By/Date,CONCESSIONAIRE SALES REPORT,,,,,,,,,,,,,
DANICA P. DEL CASTILLO,ELAINE MAE J. ARMADA,,,,,,,,,,,,,,
"MERRYMART GROCERY CENTERS, INC , 9F Double Dragon Plaza, DD Meridian Park cor Macapagal Avenue EDSA Extension, Bay Area, Pasay City,",,,,,,,,,,,,,,,
" Metro Manila, Philippines Telephone No: (02) 743-1111, Fax No: (02) 743-1111",,,,,,,,,,,,,,,
