,1,Sales Liquidation By SKU,Report  Date: 03-04-2024 10:04,,,,,,,
,1,(Reference No:C_INVC_PO17304320),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304320          ,                            PO No: 17304320        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2002-SUPER METRO MANDAUE          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,1-Mar-24,1-Mar-24,KG,0.57,88,216.03,190.11,0,190.11  
21827,TGM - SHANGHAI MIX - KILO,1-Mar-24,1-Mar-24,KG,0.29,88,115.71,90.92,10.91,101.82  
21834,TGM - REGULAR GROUND PORK - KILO,1-Mar-24,1-Mar-24,KG,1.65,88,457.57,402.66,0,402.66  
21839,TGM - PATA SLICED - KILO,1-Mar-24,1-Mar-24,KG,1.51,88,465.05,409.24,0,409.24  
21841,TGM - LEAN GROUND PORK - KILO,1-Mar-24,1-Mar-24,KG,1.93,88,652.58,574.27,0,574.27  
21842,TGM - PATA FRONT - KILO,1-Mar-24,1-Mar-24,KG,1.89,88,527.8,464.46,0,464.46  
21851,TGM - PORK LIVER - KILO,1-Mar-24,1-Mar-24,KG,1.06,88,189.74,166.97,0,166.97  
21865,TGM - PORK SAMGYEOPSAL - KILO,1-Mar-24,1-Mar-24,KG,1.86,88,738.16,649.58,0,649.58  
21866,TGM - PORK ADOBO CUT - KILO,1-Mar-24,1-Mar-24,KG,1.64,88,541.2,476.26,0,476.26  
21892,TGM - BEEF BREAKFAST STEAK - KILO,1-Mar-24,1-Mar-24,KG,2.13,88,"1,169.37","1,029.05",0,"1,029.05  "
21923,TGM - PORK GINISA CUT - KILO,1-Mar-24,1-Mar-24,KG,0.57,86,159.03,136.77,0,136.77  
22841,TGM - PIGS FEET - KILO,1-Mar-24,1-Mar-24,KG,0.6,88,107.4,94.51,0,94.51  
22843,TGM - PORK SPARERIBS - KILO,1-Mar-24,1-Mar-24,KG,0.76,88,293.36,258.16,0,258.16  
21827,TGM - SHANGHAI MIX - KILO,2-Mar-24,2-Mar-24,KG,0.47,88,185.54,145.78,17.49,163.28  
21832,TGM - PORK BELLY SOBI - KILO,2-Mar-24,2-Mar-24,KG,2.87,88,"1,083.95",953.88,0,953.88  
21834,TGM - REGULAR GROUND PORK - KILO,2-Mar-24,2-Mar-24,KG,1.82,88,499.84,439.86,0,439.86  
21837,TGM - PORK SINIGANG CUT - KILO,2-Mar-24,2-Mar-24,KG,2.59,88,657.94,578.99,0,578.99  
21838,TGM - PORK MENUDO CUT - KILO,2-Mar-24,2-Mar-24,KG,0.18,88,62.82,55.28,0,55.28  
21839,TGM - PATA SLICED - KILO,2-Mar-24,2-Mar-24,KG,0.65,88,190.81,167.91,0,167.91  
21841,TGM - LEAN GROUND PORK - KILO,2-Mar-24,2-Mar-24,KG,1.57,88,523.25,460.46,0,460.46  
