,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17304621),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304621          ,                            PO No: 17304621        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,6014-THE METRO GAISANO TAGAYTAY          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2080  - Frozen and Chilled          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104143253,TGM PORK SISIG 200G,1-Mar-24,1-Mar-24,EA,2,80,310,221.43,26.57,248.00  
104194036,TGM  SISIG FIESTA -BELLYCHON SISIG 200G,1-Mar-24,1-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104194040,TGM  SISIG FIESTA-CRISPY PATA SISIG 200G,1-Mar-24,1-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104194044,TGM SISIG FIESTA - LECHN KAWALI SISIG 200G,1-Mar-24,1-Mar-24,EA,2,80,340,242.86,29.14,272.00  
104143253,TGM PORK SISIG 200G,2-Mar-24,2-Mar-24,EA,1,80,155,110.71,13.29,124.00  
104143263,TGM PORK TOCINO 400G,2-Mar-24,2-Mar-24,EA,1,80,165,117.86,14.14,132.00  
104194036,TGM  SISIG FIESTA -BELLYCHON SISIG 200G,2-Mar-24,2-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104143256,TGM SMOKED BACON 400G,3-Mar-24,3-Mar-24,EA,1,80,335,239.29,28.71,268.00  
104194036,TGM  SISIG FIESTA -BELLYCHON SISIG 200G,4-Mar-24,4-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104143263,TGM PORK TOCINO 400G,5-Mar-24,5-Mar-24,EA,1,80,165,117.86,14.14,132.00  
104143265,TGM PORK TAPA 400G,5-Mar-24,5-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104143246,TGM FARMERS HAM 200G,7-Mar-24,7-Mar-24,EA,2,80,310,221.43,26.57,248.00  
