,1,Sales Liquidation By SKU,Report  Date: 07-02-2024 10:02,,,,,,,
,1,(Reference No:C_INVC_PO17025264),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025264          ,                            PO No: 17025264        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2009-VALUESHOP MARKET MARKET INC. (METRO ALABANG)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2080  - Frozen and Chilled          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104143253,TGM PORK SISIG 200G,6-Jan-24,6-Jan-24,EA,1,80,145,103.57,12.43,116.00  
104143263,TGM PORK TOCINO 400G,6-Jan-24,6-Jan-24,EA,1,80,158,112.86,13.54,126.40  
104143265,TGM PORK TAPA 400G,8-Jan-24,8-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143246,TGM FARMERS HAM 200G,20-Jan-24,20-Jan-24,EA,2,80,310,221.43,26.57,248.00  
104143246,TGM FARMERS HAM 200G,21-Jan-24,21-Jan-24,EA,2,80,310,221.43,26.57,248.00  
104143256,TGM SMOKED BACON 400G,25-Jan-24,25-Jan-24,EA,1,80,335,239.29,28.71,268.00  
Total Amount (PHP) :,,,,,,,"1,428.00","1,020.00",122.4,"1,142.40"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104143246,TGM FARMERS HAM 200G,4,442.86,53.14,496.00  ,,,,
2,104143253,TGM PORK SISIG 200G,1,103.57,12.43,116.00  ,,,,
3,104143256,TGM SMOKED BACON 400G,1,239.29,28.71,268.00  ,,,,
4,104143263,TGM PORK TOCINO 400G,1,112.86,13.54,126.40  ,,,,
5,104143265,TGM PORK TAPA 400G,1,121.43,14.57,136.00  ,,,,
,Total Amount (PHP) :,,,"1,020.00",122.4,"1,142.40",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
