,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17310111),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17310111          ,                            PO No: 17310111        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2005-METRO LUCENA (LUCENA CITY)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,21-Mar-24,21-Mar-24,KG,1.09,88,402.21,353.94,0,353.94  
21826,TGM - PORKCHOP SOBI - KILO,21-Mar-24,21-Mar-24,KG,5.65,88,"1,998.83","1,758.97",0,"1,758.97  "
21832,TGM - PORK BELLY SOBI - KILO,21-Mar-24,21-Mar-24,KG,2.99,88,"1,372.19","1,207.53",0,"1,207.53  "
21834,TGM - REGULAR GROUND PORK - KILO,21-Mar-24,21-Mar-24,KG,1.59,88,491.27,432.32,0,432.32  
21837,TGM - PORK SINIGANG CUT - KILO,21-Mar-24,21-Mar-24,KG,0.54,88,150.66,132.58,0,132.58  
21839,TGM - PATA SLICED - KILO,21-Mar-24,21-Mar-24,KG,1.18,88,447.22,393.55,0,393.55  
21841,TGM - LEAN GROUND PORK - KILO,21-Mar-24,21-Mar-24,KG,1.92,88,676.09,594.96,0,594.96  
21845,TGM - PORK CUBES - KILO,21-Mar-24,21-Mar-24,KG,0.96,88,373.44,328.63,0,328.63  
21846,TGM - PORK RIB SHOULDER - KILO,21-Mar-24,21-Mar-24,KG,1.66,88,575.86,506.76,0,506.76  
21848,TGM - PORK BUTTERFLY CUT - KILO,21-Mar-24,21-Mar-24,KG,0.94,88,345.53,304.07,0,304.07  
21859,TGM - PORK BACON SLICE - KILO,21-Mar-24,21-Mar-24,KG,0.98,88,484.04,425.96,0,425.96  
21866,TGM - PORK ADOBO CUT - KILO,21-Mar-24,21-Mar-24,KG,0.52,88,188.67,166.03,0,166.03  
21871,TGM - BEEF CUBES - KILO,21-Mar-24,21-Mar-24,KG,2.2,88,"1,158.52","1,019.50",0,"1,019.50  "
21872,TGM - GROUND ROUND - KILO,21-Mar-24,21-Mar-24,KG,0.26,88,119.34,105.02,0,105.02  
21875,TGM - BEEF SHANK - KILO,21-Mar-24,21-Mar-24,KG,2.07,88,"1,012.23",890.76,0,890.76  
21893,TGM - BEEF STROGANOFF - KILO,21-Mar-24,21-Mar-24,KG,0.95,88,594.41,523.08,0,523.08  
22839,TGM - PORKCHOP SLBL - KILO,21-Mar-24,21-Mar-24,KG,0.6,88,209.4,184.27,0,184.27  
21825,TGM - GROUND BEEF - KILO,22-Mar-24,22-Mar-24,KG,0.57,88,210.33,185.09,0,185.09  
21826,TGM - PORKCHOP SOBI - KILO,22-Mar-24,22-Mar-24,KG,1.88,88,673.13,592.35,0,592.35  
21828,TGM - PORK MARINATED BELLY - KILO,22-Mar-24,22-Mar-24,KG,0.48,88,234.72,184.42,22.13,206.55  
21832,TGM - PORK BELLY SOBI - KILO,22-Mar-24,22-Mar-24,KG,1.57,88,684.85,602.67,0,602.67  
21834,TGM - REGULAR GROUND PORK - KILO,22-Mar-24,22-Mar-24,KG,0.58,88,164.74,144.97,0,144.97  
