,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17025101),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025101          ,                            PO No: 17025101        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2006-METRO MARKET! MARKET!          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,4-Jan-24,4-Jan-24,EA,1,88,250,220,0,220.00  
104086239,TGM - ADOBO CUT 500G - PACK,7-Jan-24,7-Jan-24,EA,1,88,175.75,154.66,0,154.66  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,8-Jan-24,8-Jan-24,EA,1,88,250,220,0,220.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,8-Jan-24,8-Jan-24,EA,1,88,247,217.36,0,217.36  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,10-Jan-24,10-Jan-24,EA,1,88,250,220,0,220.00  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,11-Jan-24,11-Jan-24,EA,1,88,250,220,0,220.00  
104086234,TGM - PORKCHOP 500G - PACK,17-Jan-24,17-Jan-24,EA,1,86,230,197.8,0,197.80  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,17-Jan-24,17-Jan-24,EA,1,88,250,220,0,220.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,20-Jan-24,20-Jan-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,20-Jan-24,21-Jan-24,EA,1,88,375,330,0,330.00  
104086234,TGM - PORKCHOP 500G - PACK,21-Jan-24,21-Jan-24,EA,2,86,460,395.6,0,395.60  
104086239,TGM - ADOBO CUT 500G - PACK,21-Jan-24,21-Jan-24,EA,2,88,370,325.6,0,325.60  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,21-Jan-24,21-Jan-24,EA,1,88,250,220,0,220.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,21-Jan-24,21-Jan-24,EA,1,88,375,330,0,330.00  
104086234,TGM - PORKCHOP 500G - PACK,22-Jan-24,22-Jan-24,EA,1,86,218.5,187.91,0,187.91  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,23-Jan-24,23-Jan-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,24-Jan-24,24-Jan-24,EA,2,88,750,660,0,660.00  
104086234,TGM - PORKCHOP 500G - PACK,25-Jan-24,25-Jan-24,EA,1,86,230,197.8,0,197.80  
104086234,TGM - PORKCHOP 500G - PACK,27-Jan-24,27-Jan-24,EA,1,86,230,197.8,0,197.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,29-Jan-24,29-Jan-24,EA,2,88,750,660,0,660.00  
Total Amount (PHP) :,,,,,,,"6,661.25","5,834.53",0,"5,834.53"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104086234,TGM - PORKCHOP 500G - PACK,6,"1,176.91",0,"1,176.91  ",,,,
2,104086239,TGM - ADOBO CUT 500G - PACK,3,480.26,0,480.26  ,,,,
3,104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,6,"1,320.00",0,"1,320.00  ",,,,
4,104086250,TGM - PORK SAMGYUPSAL 500G - PACK,1,217.36,0,217.36  ,,,,
5,104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,8,"2,640.00",0,"2,640.00  ",,,,
,Total Amount (PHP) :,,,"5,834.53",0,"5,834.53",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
