,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17308170),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17308170          ,                            PO No: 17308170        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2006-METRO MARKET! MARKET!          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104086239,TGM - ADOBO CUT 500G - PACK,4-Mar-24,4-Mar-24,EA,1,88,185,162.8,0,162.80  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,4-Mar-24,4-Mar-24,EA,1,88,250,220,0,220.00  
104086234,TGM - PORKCHOP 500G - PACK,5-Mar-24,5-Mar-24,EA,1,86,230,197.8,0,197.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,6-Mar-24,6-Mar-24,EA,1,88,375,330,0,330.00  
104086234,TGM - PORKCHOP 500G - PACK,9-Mar-24,9-Mar-24,EA,1,86,230,197.8,0,197.80  
104086234,TGM - PORKCHOP 500G - PACK,14-Mar-24,14-Mar-24,EA,2,86,460,395.6,0,395.60  
104086234,TGM - PORKCHOP 500G - PACK,17-Mar-24,18-Mar-24,EA,1,86,230,197.8,0,197.80  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,17-Mar-24,18-Mar-24,EA,1,88,250,220,0,220.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,17-Mar-24,17-Mar-24,EA,1,88,361.04,317.72,0,317.72  
104086246,TGM - MENUDO CUT 500G - PACK,22-Mar-24,22-Mar-24,EA,2,88,380,334.4,0,334.40  
104086239,TGM - ADOBO CUT 500G - PACK,24-Mar-24,24-Mar-24,EA,3,88,555,488.4,0,488.40  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,27-Mar-24,27-Mar-24,EA,2,88,750,660,0,660.00  
104086246,TGM - MENUDO CUT 500G - PACK,28-Mar-24,28-Mar-24,EA,1,88,190,167.2,0,167.20  
104086239,TGM - ADOBO CUT 500G - PACK,30-Mar-24,30-Mar-24,EA,1,88,185,162.8,0,162.80  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,30-Mar-24,30-Mar-24,EA,3,88,750,660,0,660.00  
Total Amount (PHP) :,,,,,,,"5,381.04","4,712.32",0,"4,712.32"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104086234,TGM - PORKCHOP 500G - PACK,5,989,0,989.00  ,,,,
2,104086239,TGM - ADOBO CUT 500G - PACK,5,814,0,814.00  ,,,,
3,104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,5,"1,100.00",0,"1,100.00  ",,,,
4,104086246,TGM - MENUDO CUT 500G - PACK,3,501.6,0,501.60  ,,,,
5,104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,4,"1,307.72",0,"1,307.72  ",,,,
,Total Amount (PHP) :,,,"4,712.32",0,"4,712.32",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
