,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17025700),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025700          ,                            PO No: 17025700        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2012-METRO GAISANO MARKET (BINONDO)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,1-Jan-24,1-Jan-24,KG,1.04,88,383.76,337.71,0,337.71  
21829,TGM - PORK BBQ SKEWERED - KILO,1-Jan-24,1-Jan-24,KG,0.84,88,342.35,301.27,0,301.27  
21843,TGM - PORK STEAK - KILO,1-Jan-24,1-Jan-24,KG,0.9,88,303.41,267,0,267.00  
21844,TGM - PORK BABY BACK RIBS - KILO,1-Jan-24,1-Jan-24,KG,1.96,88,858.25,755.26,0,755.26  
21861,TGM - PORK PATA HIND - KILO,1-Jan-24,1-Jan-24,KG,2.05,88,612.95,539.4,0,539.40  
21872,TGM - GROUND ROUND - KILO,1-Jan-24,1-Jan-24,KG,0.32,88,146.88,129.25,0,129.25  
21921,TGM - PORK LECHON KAWALI - KILO,1-Jan-24,1-Jan-24,KG,1.21,86,482.79,415.2,0,415.20  
21825,TGM - GROUND BEEF - KILO,2-Jan-24,2-Jan-24,KG,1.07,88,392.99,345.83,0,345.83  
