,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17026816),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17026816          ,                            PO No: 17026816        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,3022-THE METRO GAISANO - GENERAL TRIAS          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2080  - Frozen and Chilled          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104143263,TGM PORK TOCINO 400G,2-Jan-24,2-Jan-24,EA,1,80,158,112.86,13.54,126.40  
104143253,TGM PORK SISIG 200G,3-Jan-24,3-Jan-24,EA,2,80,290,207.14,24.86,232.00  
104143253,TGM PORK SISIG 200G,4-Jan-24,4-Jan-24,EA,3,80,435,310.71,37.29,348.00  
104143246,TGM FARMERS HAM 200G,7-Jan-24,7-Jan-24,EA,2,80,310,221.43,26.57,248.00  
104143265,TGM PORK TAPA 400G,7-Jan-24,7-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143268,TGM BELLY BBQ 400G,7-Jan-24,7-Jan-24,EA,1,80,425,303.57,36.43,340.00  
104143246,TGM FARMERS HAM 200G,8-Jan-24,8-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143253,TGM PORK SISIG 200G,8-Jan-24,8-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143263,TGM PORK TOCINO 400G,8-Jan-24,8-Jan-24,EA,1,80,165,117.86,14.14,132.00  
104143263,TGM PORK TOCINO 400G,9-Jan-24,9-Jan-24,EA,1,80,165,117.86,14.14,132.00  
104143265,TGM PORK TAPA 400G,9-Jan-24,9-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143265,TGM PORK TAPA 400G,10-Jan-24,10-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143263,TGM PORK TOCINO 400G,12-Jan-24,12-Jan-24,EA,1,80,165,117.86,14.14,132.00  
